CCSN_NUM,REPORT_DATE,COMMENTS,MASS_STRAND_NUM,SERIES_NUM,CONDITION_CODE,RESTRAND_YN,GROUP_EVENT_YN,COW_CALF_YN,MASS_STRANDING_YN,NUM_ANIMALS,NUM_ANIMALS_UNITS,EXAM_DATE,EXAM_COND_ID,LOCATION,TOWN,LATITUDE_DEGREE,LONGITUDE_DEGREE,LAT_ACTUAL,LON_ACTUAL,LAT_ACHIEVED,LOCATION_DETAIL,SPECIES,Corrected Latitude,Corrected Longitude
CCSN99-077,3/19/99,red cattle ear tag # 175,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-078,3/19/99,red cattle ear tag # 185. Unable to reach animal for euthanasia. Animal found dead 20th.,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-079,3/19/99,red cattle ear tag # 176,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-080,3/19/99,red cattle ear tag # 188,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-081,3/19/99,red cattle ear tag # 187,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-083,3/19/99,"red cattle ear tag # 60.  released at Herring Cove Beach, P-town on 3/19.",MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-084,3/19/99,"red cattle ear tag # 62 released at Herring Cove Beach, P-town on 3/19",MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-085,3/19/99,"red cattle ear tag # 52 released at Herring Cove Beach, P-town on 3/19.",MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-089,3/19/99,white cattle ear tag # 536,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-090,3/19/99,red cattle ear tag soma # 52,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,First Encounter Beach,Eastham,41.82273333,70.00413333,,,,First Encounter Beach,Lagenorhynchus acutus,41.82273333,-70.00413333
CCSN99-113,3/19/99,red cattle ear soma 51released by Henry Lind at First Encounter Beach before could collect level A info.,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,First Encounter Beach,Eastham,41.82281667,70.00413333,,,,First Encounter Beach,Lagenorhynchus acutus,41.82281667,-70.00413333
CCSN99-066,3/19/99,White cattle ear tag # 290,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.9339,70.0162,,,,Chipman's Cove,Lagenorhynchus acutus,41.9339,-70.0162
CCSN99-073,3/19/99,yellow knife tag # 91,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-076,3/19/99,red cattle ear tag # 186,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-082,3/19/99,red cattle ear tag # 61,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-069,3/19/99,white cattle ear tag # 1002,MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Old Wharf Road,Wellfleet,41.90543333,69.99921667,,,,Old Wharf Road,Lagenorhynchus acutus,41.90543333,-69.99921667
CCSN99-070,3/19/99,yellow tag # 53,MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-071,3/19/99,"yellow knife tag # 68

skeleton to U Mass",MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-087,3/19/99,red cattle ear tag # 65,MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-088,3/19/99,red cattle ear tag # 66,MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Herring River,Wellfleet,41.9389,70.05478333,,,,Herring River,Lagenorhynchus acutus,41.9389,-70.05478333
CCSN99-091,3/19/99,white cattle ear tag # 286,MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Loagy Bay,Wellfleet,41.90031667,70.0027,,,,Loagy Bay,Lagenorhynchus acutus,41.90031667,-70.0027
CCSN99-112,3/19/99,red cattle ear tag # 400,MS99-03,Series00001,2,0,0,0,0,1,Actual,,,Sandy Neck,Barnstable,41.73633333,70.33266667,,,,Sandy Neck,Lagenorhynchus acutus,41.73633333,-70.33266667
CCSN99-092,3/20/99,white cattle ear tag # 505,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.91616667,70.06233333,,,,Great Island,Lagenorhynchus acutus,41.91616667,-70.06233333
CCSN99-095,3/20/99,white cattle ear tag # 508,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.91616667,70.06233333,,,,Great Island,Lagenorhynchus acutus,41.91616667,-70.06233333
CCSN99-097,3/20/99,White cattle ear tag #511,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,Drummers Cove,Wellfleet,41.91286667,69.99571667,,,,Drummers Cove,Lagenorhynchus acutus,41.91286667,-69.99571667
CCSN99-098,3/20/99,yellow cattle ear tag # 81. ultra sound analysis of blubber thivkness by Carolyn Miller & Michael Moore.,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,,Brewster,41.75521667,70.12928333,,,,,Lagenorhynchus acutus,41.75521667,-70.12928333
CCSN99-099,3/20/99,white cattle ear tag # 282,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,Old Pier Road,Wellfleet,41.9257,70.0237,,,,Old Pier Road,Lagenorhynchus acutus,41.9257,-70.0237
CCSN99-093,3/20/99,white cattle ear tag # 506,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.91616667,70.06233333,,,,Great Island,Lagenorhynchus acutus,41.91616667,-70.06233333
CCSN99-094,3/20/99,white cattle ear tag # 507,MS99-04,Series00001,1,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.91616667,70.06233333,,,,Great Island,Lagenorhynchus acutus,41.91616667,-70.06233333
CCSN99-096,3/20/99,white cattle ear tag # 300,MS99-04,Series00001,2,0,0,0,0,1,Actual,,,Payne Creek Beach,Brewster,41.7616,70.11406667,,,,Payne Creek Beach,Lagenorhynchus acutus,41.7616,-70.11406667
CCSN99-101,3/20/99,white cattle ear tag # 527,MS99-04,Series00001,2,0,0,0,0,1,Actual,,,Mayo Beach (off the Gut),Wellfleet,41.92595,70.05876667,,,,Mayo Beach (off the Gut),Lagenorhynchus acutus,41.92595,-70.05876667
CCSN99-102,3/20/99,white cattle ear  tag # 529,MS99-04,Series00001,2,0,0,0,0,1,Actual,,,Mayo Beach (off the Gut),Wellfleet,41.92595,70.05876667,,,,Mayo Beach (off the Gut),Lagenorhynchus acutus,41.92595,-70.05876667
CCSN99-103,3/20/99,yellow cattle ear tag # 36,MS99-04,Series00001,2,0,0,0,0,1,Actual,,,Boat Meadow Creek,Eastham,41.8107,70.0015,,,,Boat Meadow Creek,Lagenorhynchus acutus,41.8107,-70.0015
CCSN99-100,3/20/99,yellow cattle ear tag # 93,MS99-04,Series00001,2,0,0,0,0,1,Actual,,,Robbins Hill Road,Brewster,41.76518333,70.1003,,,,Robbins Hill Road,Lagenorhynchus acutus,41.76518333,-70.1003
CCSN99-086,3/21/99,yellow cattle ear tag # 13.,MS99-05,Series00001,2,0,0,0,0,1,Actual,,,Indian Neck  Breakwater,Wellfleet,41.9339,70.0162,,,,Indian Neck  Breakwater,Lagenorhynchus acutus,41.9339,-70.0162
CCSN99-110,3/21/99,white cattle ear tag # 535,MS99-05,Series00001,2,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.91616667,70.06233333,,,,Great Island,Lagenorhynchus acutus,41.91616667,-70.06233333
CCSN99-109,3/22/99,yellow cattle ear tag # 17,MS99-06,Series00001,1,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.93933333,70.05483333,,,,Herring River Gut,Lagenorhynchus acutus,41.93933333,-70.05483333
CCSN99-114,3/22/99,"red cattle ear tag # 387. Animal first seen on the 22nd, due to local it was not accessible except at lowtide, attempts were made to retrieve carcass but it was not accessed until the 25th.",MS99-06,Series00001,3,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.91616667,70.06233333,,,,Great Island,Lagenorhynchus acutus,41.91616667,-70.06233333
CCSN99-129,6/27/99,one of two mass stranded animals,MS99-07,,1,0,0,0,0,1,Actual,,,Hardings Beach (near lighthouse),Chatham,41.66366667,69.99066667,,,,Hardings Beach (near lighthouse),Globicephala melas,41.66366667,-69.99066667
CCSN99-130,6/27/99,one of two mass stranded animals,MS99-07,,1,0,0,0,0,1,Actual,,,Harding's Beach,Chatham,41.67,70.00166667,,,,Harding's Beach,Globicephala melas,41.67,-70.00166667
CCSN99-150,12/15/99,"yellow cattle ear tag # 277, restranded dead 12/18/99",MS99-08,Series0002,1,0,0,0,0,1,Actual,,,Paine's Creek then Rock Harbor,Brewster,41.76186667,70.11348333,,,,Paine's Creek then Rock Harbor,Delphinus delphis,41.76186667,-70.11348333
CCSN99-152,12/15/99,"yellow cattle ear tag # 285 (animal released with 2 others at susuit.  Other 2 died and necro. No data on this animal, but neco was checked off on this page with skin and teeth checked for samples collected).",MS99-08,Series0002,1,0,0,0,0,1,Actual,,,Robbin's Hill Beach,Brewster,41.76325,70.10603333,,,,Robbin's Hill Beach,Delphinus delphis,41.76325,-70.10603333
CCSN99-151,12/15/99,"yellow cattle ear tag # 280, also satellite tag. Restranded dead at Boat Meadow Creek, Eastham.",MS99-08,Series0002,1,0,0,0,0,1,Actual,,,Paine's Creek then Boat Meadow Creek,Brewster,41.76186667,70.11348333,,,,Paine's Creek then Boat Meadow Creek,Delphinus delphis,41.76186667,-70.11348333
CCSN00-065,4/9/00,CCSN collected blood and euthanized. Whole animal to D. Ketten.,MS00-01,Series0003,1,0,0,0,0,1,Actual,,,139 Commercial Street,Wellfleet,41.9345,70.02933333,,,,139 Commercial Street,Lagenorhynchus acutus,41.9345,-70.02933333
CCSN00-067,4/9/00,"Collected level A data

Cattle ear tag white #545",MS00-01,Series0003,3,0,0,0,0,1,Actual,,,Great Island,Wellfleet,41.93066667,70.06966667,,,,Great Island,Lagenorhynchus acutus,41.93066667,-70.06966667
CCSN00-068,4/11/00,"Skin- Kim Amaral,  Dorsal fin to G. Early

Skeleton- WHOI Aq",MS00-02,Series0003,1,0,0,0,0,1,Actual,,,Pine Point Road,Wellfleet,41.93333333,70.02416667,,,,Pine Point Road,Lagenorhynchus acutus,41.93333333,-70.02416667
CCSN00-069,4/11/00,"Froth at blowhole, abrasions, bruising

Euthanized. Dorsal fin to G. Early",MS00-02,Series0003,1,0,0,0,0,1,Actual,,,Pine Point Road,Wellfleet,41.93333333,70.02416667,,,,Pine Point Road,Lagenorhynchus acutus,41.93333333,-70.02416667
CCSN00-070,4/11/00,"Collected level A data

Collected dorsal fins for G early

Cattle ear tag white #544",MS00-03,Series0003,3,0,0,0,0,1,Actual,,,Pine Point Road,Wellfleet,41.93333333,70.02416667,,,,Pine Point Road,Lagenorhynchus acutus,41.93333333,-70.02416667
CCSN00-071,4/11/00,"Dorsal fin to G. Early, Level A collected.

Cattle ear tag white #543",MS00-03,Series0003,3,0,0,0,0,1,Actual,,,Pine Point Road,Wellfleet,41.93333333,70.02416667,,,,Pine Point Road,Lagenorhynchus acutus,41.93333333,-70.02416667
CCSN00-106,8/14/00,"Yellow cattle ear tag #265. Release offshore 41'50.49N 70'04.27W. Stranded as gp of 2, both animals released offshore, after blood gas analysis suggested animals would not handle overland transport to rehab.",MS00-04,,1,0,0,0,0,1,Actual,,,Boat Meadow,Eastham,41.80683333,70.00266667,,,,Boat Meadow,Lagenorhynchus acutus,41.80683333,-70.00266667
CCSN00-107,8/14/00,"Yellow cattle ear tag #275. Release offshore 41'50.49N 70'04.27W. Stranded as gp of 2, both animals released offshore, after blood gas analysis suggested animals would not handle overland transport to rehab.",MS00-04,,1,0,0,0,0,1,Actual,,,Boat Meadow,Eastham,41.80683333,70.00266667,,,,Boat Meadow,Lagenorhynchus acutus,41.80683333,-70.00266667
CCSN00-109,8/26/00,found in water as herding group of 20-30 La out of Herring River.,MS00-05,Series0004,2,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.92816667,70.06683333,,,,Herring River Gut,Lagenorhynchus acutus,41.92816667,-70.06683333
CCSN00-110,8/26/00,found in water as herding group of 20-30 La out of Herring River.,MS00-05,Series0004,2,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.92816667,70.06683333,,,,Herring River Gut,Lagenorhynchus acutus,41.92816667,-70.06683333
CCSN00-111,8/26/00,found in water as herding group of 20-30 La out of Herring River.,MS00-05,Series0004,2,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.92816667,70.06683333,,,,Herring River Gut,Lagenorhynchus acutus,41.92816667,-70.06683333
CCSN00-112,8/26/00,found in water as herding group of 20-30 La out of Herring River.,MS00-05,Series0004,2,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.92816667,70.06683333,,,,Herring River Gut,Lagenorhynchus acutus,41.92816667,-70.06683333
CCSN00-113,8/26/00,found in water as herding group of 20-30 La out of Herring River.,MS00-05,Series0004,2,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.92816667,70.06683333,,,,Herring River Gut,Lagenorhynchus acutus,41.92816667,-70.06683333
CCSN00-114,8/26/00,found in water as herding group of 20-30 La out of Herring River.,MS00-05,Series0004,2,0,0,0,0,1,Actual,,,Herring River Gut,Wellfleet,41.92816667,70.06683333,,,,Herring River Gut,Lagenorhynchus acutus,41.92816667,-70.06683333
CCSN00-115,8/27/00,"Red cattle ear tag #389. discovered 08/27, prob.during MA event of 08/24",MS00-06,Series0004,3,0,0,0,0,1,Actual,,,"Wellfleet Yatch Club, Chequesset Neck Road",Wellfleet,41.92896667,70.0523,,,,"Wellfleet Yatch Club, Chequesset Neck Road",Lagenorhynchus acutus,41.92896667,-70.0523
CCSN00-116,8/27/00,Red cattle ear dorsal tag #388. probalby died 08/26 with initial MS event.,MS00-06,Series0004,3,0,0,0,0,1,Actual,,,Herring River Dike,Wellfleet,41.93145,70.06633333,,,,Herring River Dike,Lagenorhynchus acutus,41.93145,-70.06633333
CCSN00-117,8/27/00,Red cattle ear dorsal tag #385. probalby died 08/26 with initial MS event. Appeared to be actively lactating.,MS00-06,Series0004,3,0,0,0,0,1,Actual,,,Herring River Dike,Wellfleet,41.93121667,70.06451667,,,,Herring River Dike,Lagenorhynchus acutus,41.93121667,-70.06451667
CCSN00-118,8/27/00,Red cattle ear tag #382. probalby died 08/26 with initial MS event. Necropsied 11/14/00 w. BU marine program class.,MS00-06,Series0004,3,0,0,0,0,1,Actual,,,Herring River/Great Island,Wellfleet,41.92993333,70.06933333,,,,Herring River/Great Island,Lagenorhynchus acutus,41.92993333,-70.06933333
CCSN00-119,8/28/00,Red cattle ear tag #383.  probalby died 08/26 with initial MS event.,MS00-06,Series0004,3,0,0,0,0,1,Actual,,,Herring River Dike,Wellfleet,41.93135,70.06711667,,,,Herring River Dike,Lagenorhynchus acutus,41.93135,-70.06711667
CCSN01-054,3/7/01,"Tag - #591 - White (cattle ear)

photos taken, carcass left at site",MS01-01,,3,0,0,0,0,1,Actual,,,Old Wharf Rd.-Blackfish Creek,Wellfleet,41.90643333,70.00111667,,,,Old Wharf Rd.-Blackfish Creek,Lagenorhynchus acutus,41.90643333,-70.00111667
CCSN01-053,3/7/01,Tag - # 590 - White (cattle ear),MS01-01,,3,0,0,0,0,1,Actual,,,Old Wharf Rd.-Blackfish Creek,Wellfleet,41.90631667,69.9994,,,,Old Wharf Rd.-Blackfish Creek,Lagenorhynchus acutus,41.90631667,-69.9994
CCSN01-085,4/13/01,"Tag - #380 - Red cattle ear

mass stranding

necropsy @ Shorelab",MS01-02,,1,0,0,0,0,1,Actual,,,Fresh Brook,Wellfleet,42.48575,70.6556,,,,Fresh Brook,Lagenorhynchus acutus,42.48575,-70.6556
CCSN01-086,4/13/01,"Tag - #379 - Red cattle ear

mass stranding

Necropsy @ Shorelab",MS01-02,,1,0,0,0,0,1,Actual,,,Fresh Brook,Wellfleet,42.48575,70.6556,,,,Fresh Brook,Lagenorhynchus acutus,42.48575,-70.6556
CCSN01-087,4/13/01,"Tag - #377 - Red cattle ear

mass stranding",MS01-02,,1,0,0,0,0,1,Actual,,,Fresh Brook,Wellfleet,42.48575,70.6556,,,,Fresh Brook,Lagenorhynchus acutus,42.48575,-70.6556
CCSN01-089,4/13/01,"Tag - #381

mass stranding",MS01-02,,1,0,0,0,0,1,Actual,,,Fresh Brook,Wellfleet,42.48575,70.6556,,,,Fresh Brook,Lagenorhynchus acutus,42.48575,-70.6556
CCSN01-084,4/13/01,"Tag - #384 - Red cattle ear

mass stranding

necropsy @ Shorelab",MS01-02,,1,0,0,0,0,1,Actual,,,Fresh Brook,Wellfleet,42.48575,70.6556,,,,Fresh Brook,Lagenorhynchus acutus,42.48575,-70.6556
CCSN01-088,4/13/01,"Tag - #378 - Red cattle ear

mass stranding

necropsy @ Shorelab",MS01-02,,1,0,0,0,0,1,Actual,,,Fresh Brook,Wellfleet,42.48575,70.6556,,,,Fresh Brook,Lagenorhynchus acutus,42.48575,-70.6556
CCSN02-013,1/27/02,"stranded while herding others - confirmed by IFAW DOA

carcass was gone next day 1/28/02",MS02-01,Series0005,1,0,0,0,0,1,Actual,,,Indian Neck,Wellfleet,41.9195,70.03166667,,,,Indian Neck,Delphinus delphis,41.9195,-70.03166667
CCSN02-015,1/27/02,tag# Red 54,MS02-01,Series0005,1,0,0,0,0,1,Actual,,,Power's Landing,Wellfleet,41.92993333,70.71816667,,,,Power's Landing,Delphinus delphis,41.92993333,-70.71816667
CCSN02-016,1/27/02,Tag - Red#55,MS02-01,Series0005,1,0,0,0,0,1,Actual,,,Power's Landing,Wellfleet,41.92993333,70.71816667,,,,Power's Landing,Delphinus delphis,41.92993333,-70.71816667
CCSN02-017,1/27/02,tag - red#56,MS02-01,Series0005,1,0,0,0,0,1,Actual,,,Power's Landing,Wellfleet,41.92993333,70.71816667,,,,Power's Landing,Delphinus delphis,41.92993333,-70.71816667
CCSN02-018,1/27/02,tag - red #57,MS02-01,Series0005,1,0,0,0,0,1,Actual,,,Power's Landing,Wellfleet,41.92993333,70.71816667,,,,Power's Landing,Delphinus delphis,41.92993333,-70.71816667
CCSN02-019,1/27/02,tag - red #58,MS02-01,Series0005,1,0,0,0,0,1,Actual,,,Power's Landing,Wellfleet,41.92993333,70.71816667,,,,Power's Landing,Delphinus delphis,41.92993333,-70.71816667
CCSN02-012,1/27/02,"Level A data first collected by Geri, then necropsied the next day by

WHOI, HWK, AJW

Tag# white 580",MS02-01,Series0005,2,0,0,0,0,1,Actual,,,Ellis Landing,Brewster,41.77516667,70.057,,,,Ellis Landing,Delphinus delphis,41.77516667,-70.057
CCSN02-011,1/27/02,"Level A data collected by Geri, necropsy preformed next day by WHOI,

HNK, AJW

tag# white 579",MS02-01,Series0005,2,0,0,0,0,1,Actual,,,Ellis Landing,Brewster,41.7755,70.056,,,,Ellis Landing,Delphinus delphis,41.7755,-70.056
CCSN02-014,1/27/02,"Whole carcass to D. Ketten, now at Smithsonian",MS02-01,Series0005,2,0,0,0,0,1,Actual,,,Power's Landing,Wellfleet,41.9299,-70.0718,,,,Power's Landing,Delphinus delphis,41.9299,-70.0718
CCSN02-049,3/5/02,Red Tag #94-Cattle ear,MS02-02,Series0006,1,0,0,0,0,1,Actual,,,Chequesset Neck-in front of Yacht Club,Wellfleet,41.92783333,70.053,,,,Chequesset Neck-in front of Yacht Club,Lagenorhynchus acutus,41.92783333,-70.053
CCSN02-051,3/5/02,Red Cattle ear Tag #327,MS02-02,Series0006,1,0,0,0,0,1,Actual,,,Great Island-Herring River Gut,Wellfleet,41.92316667,70.06683333,,,,Great Island-Herring River Gut,Lagenorhynchus acutus,41.92316667,-70.06683333
CCSN02-052,3/5/02,Red Cattle ear Tag#329,MS02-02,Series0006,1,0,0,0,0,1,Actual,,,Lt. Island,Wellfleet,41.89966667,70.01783333,,,,Lt. Island,Lagenorhynchus acutus,41.89966667,-70.01783333
CCSN02-053,3/5/02,Red Cattle ear Tag# 68. Released with 5 other L. acutus at Provincetown Beach same day.,MS02-02,Series0006,1,0,0,0,0,1,Actual,,,Chequesset Neck-across from Yacht Club,Wellfleet,41.92566667,70.07083333,,,,Chequesset Neck-across from Yacht Club,Lagenorhynchus acutus,41.92566667,-70.07083333
CCSN02-054,3/5/02,Red Cattle ear Tag #69. Transorted to Provincetown and released with 5 other L. acutus,MS02-02,Series0006,1,0,0,0,0,1,Actual,,,Chequesset Neck-across from Yacht Club,Wellfleet,41.92566667,70.07083333,,,,Chequesset Neck-across from Yacht Club,Lagenorhynchus acutus,41.92566667,-70.07083333
